Line length (in characters),Line length (in words),Line ID,Line,Document ID,Document
54,7,1,Chapter 75 - SUSTAINABLE DEVELOPMENT DESIGN STANDARDS,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
1,0,2,,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
21,7,3,Sec. 75-1. - Policy.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,2,4,(a),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
594,105,5,"The City of Atlanta shall integrate green and/or sustainable building principles and practices into the design, construction, and operations of all city facilities, and city-funded projects to the fullest extent possible and at minimum to the extent described in section 75-19. Furthermore, the city shall provide leadership and guidance to encourage the application of green building practices in private sector development. This policy is expected to yield long-term cost savings to the city's taxpayers due to substantial improvements in life-cycle performance and reduced life-cycle costs.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,2,6,(b),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
340,55,7,"In addition, the city shall evaluate all land purchases for future development on the basis of reducing environmental impacts that include but are not limited to transit, pedestrian and bicycle accessibility, urban and brownfields redevelopment, solar access, on-site stormwater mitigation capacity, and vegetation and habitat restoration.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
42,16,8,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03)",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
30,7,9,Secs. 75-2—75-15. - Reserved.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
23,7,10,Sec. 75-16. - Purpose.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
513,89,11,"The purpose of the City of Atlanta's policy on sustainable building is to require the city's commitment to environmental, economic, and social stewardship, to yield cost savings to the city taxpayers through reduced operating costs, to provide healthy and productive work environments for staff and visitors, and to contribute to the city's goals of protecting, conserving, and enhancing the region's environmental resources. Additionally, the city shall help to set a community standard of sustainable building.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
42,16,12,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03)",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
38,8,13,Sec. 75-17. - Organizations affected.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
178,28,14,"All city departments and offices and their contractors responsible for financing, planning, designing, developing, constructing and managing city-owned facilities and buildings.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
42,16,15,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03)",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
27,7,16,Sec. 75-18. - Definitions.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
761,114,17,"Sustainable building: Sustainable building means the integration of building materials and methods that promote environmental quality, economic vitality, and social benefit through the design, construction and operation of the built environment. Sustainable building merges sound, environmentally responsible practices into one discipline that looks at the environmental, economic and social effects of a building or built project as a whole. Sustainable design encompasses the following broad topics: efficient management of energy and water resources, management of material resources and waste, protection of environmental quality, protection of health and indoor environmental quality, reinforcement of natural systems, and integrating the design approach.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
482,83,18,"Life cycle cost analysis: An inclusive approach to costing a program, facility, or group of facilities that encompasses planning, design, construction, operation and maintenance over the useful life of the facilities and finally any decommissioning or disassembly costs. Life cycle cost analysis looks at the net present value of design options as investments. The goal is to achieve the highest, most cost-effective environmental performance possible over the life of the project.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
763,129,19,"LEEDTM rating system: LEEDTM stands for Leadership in Energy and Environmental Design, and is a voluntary, consensus-based, market-driven green building rating system developed by the U.S. Green Building Council (USGBC). It is based on existing, proven technology and evaluates environmental performance from a ""whole building"" perspective. LEEDTM is a self-certifying system designed for rating new and existing commercial, institutional, and multi-family residential buildings. It contains prerequisites and credits in five categories: Sustainable site planning, improving energy efficiency, conserving materials and resources, embracing indoor environmental quality, and safeguarding water. There are four rating levels: Certified, Silver, Gold, and Platinum.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
460,78,20,"Renovation as defined by Georgia Code § 20-2-260 refers to construction projects which consist of the installation or replacement of major building components such as lighting, heating, air-conditioning, plumbing, roofing, electrical, electronic, or flooring systems; millwork; cabinet work and fixed equipment; energy retrofit packages; or room-size modifications within an existing facility, but excluding routine maintenance and repair items or operations.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
42,16,21,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03)",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
32,9,22,Sec. 75-19. - Policy and goals.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,2,23,(a),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
367,66,24,"It is the policy of the City of Atlanta to finance, plan, design, construct, manage, renovate, maintain, and decommission its facilities and buildings to be sustainable. This applies to new construction and renovations in which the total project square footage includes 5,000 gross square feet of occupied space or the total project cost exceeds two million dollars.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,2,25,(b),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
179,29,26,The LEEDTM rating system and reference guide shall be used as a guidance for design and a measuring tool to determine what constitutes sustainable building by national standards.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,3,27,(c),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
302,50,28,"Facilities and buildings over 5,000 gross square feet of occupied space or two million dollars total project cost shall at a minimum incorporate sustainable design criterion as defined by this article. Design and project management teams are required to meet LEEDTM Silver rating level (33—38 points).",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
42,16,29,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03)",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
47,9,30,Sec. 75-20. - Procedures and responsibilities.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,2,31,(a),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
220,33,32,"The commissioners of all city departments whose responsibilities include planning, designing, constructing or renovating city-owned facilities are responsible for ensuring that facilities and buildings comply with 75-19",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,2,33,(b),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
216,30,34,The city's environmental manager is responsible for coordinating to city departments any educational and technical resources available that support and promote sustainable design and construction of city facilities.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,3,35,(c),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
145,24,36,The minimum number of credits required in each of the LEEDTM categories is 33 points so that projects demonstrate performance in all categories.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
42,16,37,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03)",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
39,9,38,Sec. 75-21. - Budgeting and financing.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
310,53,39,All capital construction which falls under this policy is required to budget LEEDTM design standards in the conceptual development of a city funded facility and/or the CDP/CIP process through the department of planning. Budget planning and life cycle cost analysis to achieve LEEDTM Silver rating is required.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
42,16,40,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03)",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
24,8,41,Sec. 75-22. - Training.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
107,16,42,LEEDTM training will be coordinated through the environmental manager and/or other sponsoring departments.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
42,16,43,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03)",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
36,9,44,Sec. 75-23. - Request for proposal.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
372,57,45,"The commissioners of all city departments whose responsibilities include planning, designing, constructing or renovating city-owned facilities are responsible for submitting a request for proposal (RFP) to the department of procurement specifying the mandatory requirement of complying with the sustainable development design guidelines per section 75-19 of this article.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
42,16,46,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03)",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
30,8,47,Sec. 75-24. - Implementation.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,2,48,(a),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
232,35,49,"The sustainable development design standards shall be forwarded to the department of planning and community development for review consistent with the above referenced policy objectives, and incorporated in the CDP and CIP process.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,2,50,(b),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
216,35,51,Each city department shall submit an annual progress report detailing compliance with this article to the department of planning. The department of planning shall then compile all reports for inclusion into the CDP.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,3,52,(c),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
117,20,53,The department of procurement shall assist and review all RFQ/RFP documents to ensure consistency with this article.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
42,16,54,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03)",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
26,7,55,Sec. 75-25. - Exemptions.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
351,54,56,"The City of Atlanta Sustainable Development Design Guidelines of achieving LEEDTM certified status shall not apply to current city facilities that have been proposed in the FY02-03 capital budget. However, these projects shall still implement City of Atlanta Sustainable Development Design Guidelines and strategies to the maximum extent practicable.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
358,60,57,"Many projects do not meet the policy criteria, including some buildings smaller than 5,000 gross square feet, roadways, and other infrastructure. City facility construction projects that are unoccupied or serve specialized functions (e.g. pump station, garage, storage building, etc.) are not subject to the city's sustainable development design guidelines.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
655,101,58,"Even though projects may become exempt from the city's required sustainable development design guidelines, project managers and design teams are encouraged to apply the relevant portions of City of Atlanta Sustainable Development Design Guidelines and to develop goals that increase the environmental, social, and economic benefits of the project. In addition, all exempted projects shall complete the LEEDTM Checklist to assess any sustainable design techniques. This LEEDTM project checklist will be submitted to the appropriate city department project manager and all measures implemented shall be described in the department's annual progress report.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
42,16,59,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03)",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
45,9,60,Sec. 75-26. - Facility design prerequisites.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
301,47,61,"All city departments and offices and their contractors responsible for financing, planning, designing, developing, constructing and managing city-owned facilities and buildings shall include the following prerequisites when designing a facility (as consistent with the USGBC LEEDTM rating standards):",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,2,62,(1),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
106,20,63,"Compliance with Atlanta Code of Ordinances, Article II, Section 74-35, Erosion and Sedimentation Control.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,1,64,(2),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
187,29,65,"Fundamental building systems commissioning: Intent is to verify and ensure that fundamental building elements and systems are designed, installed, and calibrated to operate as projected.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,1,66,(3),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
125,21,67,Minimum energy performance: Intent is to establish the minimum level of energy efficiency for the base building and systems.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,2,68,(4),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
72,13,69,CFC reduction in HVAC&R equipment: Intent is to reduce ozone depletion.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,2,70,(5),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
120,18,71,Recycling: Intent is to implement a comprehensive recycling program that reduces waste generated by building occupants.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,2,72,(6),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
168,29,73,Minimum indoor air quality: Intent is to establish minimum indoor air quality (IAQ) performance to prevent the development of indoor air quality problems in buildings.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
4,2,74,(7),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
115,21,75,Environmental tobacco smoke (ETS) control: Intent is to prevent exposure of building occupants and systems to ETS.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
42,16,76,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03)",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
31,7,77,Secs. 75-27—75-50. - Reserved.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
57,10,1,Chapter 75 - SUSTAINABLE DEVELOPMENT DESIGN STANDARDS[1],2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
1,0,2,,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
11,2,3,Footnotes:,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
12,5,4,--- (1) ---,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
255,67,5,"Editor's note— Ord. No. 2003-108, § 2(Exh. A), approved Dec. 9, 2003, amended ch. 75 in its entirety to read as herein set out. Formerly, said chapter pertained to similar subject matter as enacted by Ord. No. 2003-93, § 2(Exh. A), approved May 27, 2003.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
1,0,6,,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
21,7,7,Sec. 75-1. - Policy.,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
4,2,8,(a),2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
594,105,9,"The City of Atlanta shall integrate green and/or sustainable building principles and practices into the design, construction, and operations of all city facilities, and city-funded projects to the fullest extent possible and at minimum to the extent described in section 75-19. Furthermore, the city shall provide leadership and guidance to encourage the application of green building practices in private sector development. This policy is expected to yield long-term cost savings to the city's taxpayers due to substantial improvements in life-cycle performance and reduced life-cycle costs.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
4,2,10,(b),2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
