Sentence length (in words),Sentence ID,Sentence,Document ID,Document
5,1,Chapter 75 - SUSTAINABLE DEVELOPMENT,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
2,2,DESIGN STANDARDS,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
7,3,Sec. 75-1. - Policy.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
53,4,"(a) The City of Atlanta shall integrate green and/or sustainable building principles and practices into the design, construction, and operations of all city facilities, and city-funded projects to the fullest extent possible and at minimum to the extent described in section 75-19.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
22,5,"Furthermore, the city shall provide leadership and guidance to encourage the application of green building practices in private sector development.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
32,6,This policy is expected to yield long-term cost savings to the city's taxpayers due to substantial improvements in life-cycle performance and reduced life-cycle costs.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
2,7,(b),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
55,8,"In addition, the city shall evaluate all land purchases for future development on the basis of reducing environmental impacts that include but are not limited to transit, pedestrian and bicycle accessibility, urban and brownfields redevelopment, solar access, on-site stormwater mitigation capacity, and vegetation and habitat restoration.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
22,9,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Secs. 75-2—75-15. - Reserved.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
7,10,Sec. 75-16. - Purpose.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
74,11,"The purpose of the City of Atlanta's policy on sustainable building is to require the city's commitment to environmental, economic, and social stewardship, to yield cost savings to the city taxpayers through reduced operating costs, to provide healthy and productive work environments for staff and visitors, and to contribute to the city's goals of protecting, conserving, and enhancing the region's environmental resources.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
15,12,"Additionally, the city shall help to set a community standard of sustainable building.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
25,13,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-17. - Organizations affected.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
28,14,"All city departments and offices and their contractors responsible for financing, planning, designing, developing, constructing and managing city-owned facilities and buildings.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
23,15,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-18. - Definitions.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
36,16,"Sustainable building: Sustainable building means the integration of building materials and methods that promote environmental quality, economic vitality, and social benefit through the design, construction and operation of the built environment.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
31,17,"Sustainable building merges sound, environmentally responsible practices into one discipline that looks at the environmental, economic and social effects of a building or built project as a whole.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
47,18,"Sustainable design encompasses the following broad topics: efficient management of energy and water resources, management of material resources and waste, protection of environmental quality, protection of health and indoor environmental quality, reinforcement of natural systems, and integrating the design approach.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
5,19,Life cycle cost analysis:,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
40,20,"An inclusive approach to costing a program, facility, or group of facilities that encompasses planning, design, construction, operation and maintenance over the useful life of the facilities and finally any decommissioning or disassembly costs.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
16,21,Life cycle cost analysis looks at the net present value of design options as investments.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
22,22,"The goal is to achieve the highest, most cost-effective environmental performance possible over the life of the project.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
41,23,"LEEDTM rating system: LEEDTM stands for Leadership in Energy and Environmental Design, and is a voluntary, consensus-based, market-driven green building rating system developed by the U.S. Green Building Council (USGBC).",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
20,24,"It is based on existing, proven technology and evaluates environmental performance from a ""whole building"" perspective.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
22,25,"LEEDTM is a self-certifying system designed for rating new and existing commercial, institutional, and multi-family residential buildings.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
31,26,"It contains prerequisites and credits in five categories: Sustainable site planning, improving energy efficiency, conserving materials and resources, embracing indoor environmental quality, and safeguarding water.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
15,27,"There are four rating levels: Certified, Silver, Gold, and Platinum.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
78,28,"Renovation as defined by Georgia Code § 20-2-260 refers to construction projects which consist of the installation or replacement of major building components such as lighting, heating, air-conditioning, plumbing, roofing, electrical, electronic, or flooring systems; millwork; cabinet work and fixed equipment; energy retrofit packages; or room-size modifications within an existing facility, but excluding routine maintenance and repair items or operations.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
24,29,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-19. - Policy and goals.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
35,30,"(a) It is the policy of the City of Atlanta to finance, plan, design, construct, manage, renovate, maintain, and decommission its facilities and buildings to be sustainable.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
32,31,"This applies to new construction and renovations in which the total project square footage includes 5,000 gross square feet of occupied space or the total project cost exceeds two million dollars.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
31,32,(b) The LEEDTM rating system and reference guide shall be used as a guidance for design and a measuring tool to determine what constitutes sustainable building by national standards.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
34,33,"(c) Facilities and buildings over 5,000 gross square feet of occupied space or two million dollars total project cost shall at a minimum incorporate sustainable design criterion as defined by this article.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
18,34,Design and project management teams are required to meet LEEDTM Silver rating level (33—38 points).,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
24,35,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-20. - Procedures and responsibilities.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
67,36,"(a) The commissioners of all city departments whose responsibilities include planning, designing, constructing or renovating city-owned facilities are responsible for ensuring that facilities and buildings comply with 75-19 (b) The city's environmental manager is responsible for coordinating to city departments any educational and technical resources available that support and promote sustainable design and construction of city facilities.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
3,37,(c),1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
24,38,The minimum number of credits required in each of the LEEDTM categories is 33 points so that projects demonstrate performance in all categories.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
25,39,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-21. - Budgeting and financing.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
38,40,All capital construction which falls under this policy is required to budget LEEDTM design standards in the conceptual development of a city funded facility and/or the CDP/CIP process through the department of planning.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
15,41,Budget planning and life cycle cost analysis to achieve LEEDTM Silver rating is required.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
24,42,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-22. - Training.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
16,43,LEEDTM training will be coordinated through the environmental manager and/or other sponsoring departments.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
25,44,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-23. - Request for proposal.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
57,45,"The commissioners of all city departments whose responsibilities include planning, designing, constructing or renovating city-owned facilities are responsible for submitting a request for proposal (RFP) to the department of procurement specifying the mandatory requirement of complying with the sustainable development design guidelines per section 75-19 of this article.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
24,46,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-24. - Implementation.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
36,47,"(a) The sustainable development design standards shall be forwarded to the department of planning and community development for review consistent with the above referenced policy objectives, and incorporated in the CDP and CIP process.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
22,48,(b) Each city department shall submit an annual progress report detailing compliance with this article to the department of planning.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
15,49,The department of planning shall then compile all reports for inclusion into the CDP.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
22,50,(c) The department of procurement shall assist and review all RFQ/RFP documents to ensure consistency with this article.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
23,51,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-25. - Exemptions.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
32,52,The City of Atlanta Sustainable Development Design Guidelines of achieving LEEDTM certified status shall not apply to current city facilities that have been proposed in the FY02-03 capital budget.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
22,53,"However, these projects shall still implement City of Atlanta Sustainable Development Design Guidelines and strategies to the maximum extent practicable.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
25,54,"Many projects do not meet the policy criteria, including some buildings smaller than 5,000 gross square feet, roadways, and other infrastructure.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
35,55,"City facility construction projects that are unoccupied or serve specialized functions (e.g. pump station, garage, storage building, etc.) are not subject to the city's sustainable development design guidelines.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
54,56,"Even though projects may become exempt from the city's required sustainable development design guidelines, project managers and design teams are encouraged to apply the relevant portions of City of Atlanta Sustainable Development Design Guidelines and to develop goals that increase the environmental, social, and economic benefits of the project.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
18,57,"In addition, all exempted projects shall complete the LEEDTM Checklist to assess any sustainable design techniques.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
29,58,This LEEDTM project checklist will be submitted to the appropriate city department project manager and all measures implemented shall be described in the department's annual progress report.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
25,59,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-26. - Facility design prerequisites.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
70,60,"All city departments and offices and their contractors responsible for financing, planning, designing, developing, constructing and managing city-owned facilities and buildings shall include the following prerequisites when designing a facility (as consistent with the USGBC LEEDTM rating standards): (1) Compliance with Atlanta Code of Ordinances, Article II, Section 74-35, Erosion and Sedimentation Control.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
30,61,"(2) Fundamental building systems commissioning: Intent is to verify and ensure that fundamental building elements and systems are designed, installed, and calibrated to operate as projected.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
22,62,(3) Minimum energy performance: Intent is to establish the minimum level of energy efficiency for the base building and systems.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
14,63,(4) CFC reduction in HVAC&R equipment: Intent is to reduce ozone depletion.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
19,64,(5) Recycling: Intent is to implement a comprehensive recycling program that reduces waste generated by building occupants.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
30,65,(6) Minimum indoor air quality: Intent is to establish minimum indoor air quality (IAQ) performance to prevent the development of indoor air quality problems in buildings.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
22,66,(7) Environmental tobacco smoke (ETS) control: Intent is to prevent exposure of building occupants and systems to ETS.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
22,67,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Secs. 75-27—75-50. - Reserved.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
5,1,Chapter 75 - SUSTAINABLE DEVELOPMENT,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
5,2,DESIGN STANDARDS[1],2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
43,3,"Footnotes: --- (1) --- Editor's note— Ord. No. 2003-108, § 2(Exh. A), approved Dec. 9, 2003, amended ch. 75 in its entirety to read as herein set out.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
31,4,"Formerly, said chapter pertained to similar subject matter as enacted by Ord. No. 2003-93, § 2(Exh. A), approved May 27, 2003.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
7,5,Sec. 75-1. - Policy.,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
53,6,"(a) The City of Atlanta shall integrate green and/or sustainable building principles and practices into the design, construction, and operations of all city facilities, and city-funded projects to the fullest extent possible and at minimum to the extent described in section 75-19.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
22,7,"Furthermore, the city shall provide leadership and guidance to encourage the application of green building practices in private sector development.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
32,8,This policy is expected to yield long-term cost savings to the city's taxpayers due to substantial improvements in life-cycle performance and reduced life-cycle costs.,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
2,9,(b),2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
